City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-11-08 17:33:53,-46.6,168.3333,51.31,88,60,13.35
1,Ushuaia,AR,2022-11-08 17:31:35,-54.8,-68.3,55.02,50,20,20.71
2,Severo-Kurilsk,RU,2022-11-08 17:33:20,50.6789,156.125,34.14,74,94,7.45
3,Hermanus,ZA,2022-11-08 17:33:53,-34.4187,19.2345,62.8,78,69,7.63
4,Beyneu,KZ,2022-11-08 17:33:53,45.3167,55.2,37.76,67,98,7.29
5,Petropavlovsk-Kamchatskiy,RU,2022-11-08 17:33:54,53.0452,158.6483,25.39,86,75,2.24
6,Mahebourg,MU,2022-11-08 17:31:49,-20.4081,57.7,75.49,73,20,5.75
7,New Norfolk,AU,2022-11-08 17:33:54,-42.7826,147.0587,56.71,61,91,1.7
8,Rikitea,PF,2022-11-08 17:32:59,-23.1203,-134.9692,74.93,90,64,15.59
9,Palasa,IN,2022-11-08 17:33:54,18.7667,84.4167,72.09,78,7,3.69
10,Aden,YE,2022-11-08 17:33:55,12.7794,45.0367,81.09,77,4,15.48
11,Qaanaaq,GL,2022-11-08 17:33:55,77.484,-69.3632,-7.19,72,70,7.56
12,Albany,US,2022-11-08 17:29:32,42.6001,-73.9662,51.93,32,3,1.99
13,Portland,US,2022-11-08 17:32:52,45.5234,-122.6762,48.49,87,75,8.99
14,Tiksi,RU,2022-11-08 17:33:55,71.6872,128.8694,-2.76,89,100,9.57
15,Torbay,CA,2022-11-08 17:30:36,47.6666,-52.7314,48.97,58,75,29.93
16,Ginda,IN,2022-11-08 17:33:56,30.6945,78.4932,48.72,67,65,5.73
17,Manggar,ID,2022-11-08 17:33:56,-2.8833,108.2667,77.56,84,94,2.93
18,Bredasdorp,ZA,2022-11-08 17:33:15,-34.5322,20.0403,61.86,73,69,8.88
19,Dikson,RU,2022-11-08 17:33:57,73.5069,80.5464,5.58,97,93,3.74
20,Port Alfred,ZA,2022-11-08 17:33:07,-33.5906,26.891,65.17,90,77,10.36
21,Punta Arenas,CL,2022-11-08 17:33:57,-53.15,-70.9167,57.31,41,40,23.02
22,Kodiak,US,2022-11-08 17:32:44,57.79,-152.4072,42.31,93,100,11.5
23,Baghdad,IQ,2022-11-08 17:33:57,33.3406,44.4009,67.91,52,0,8.05
24,Kaitangata,NZ,2022-11-08 17:33:45,-46.2817,169.8464,47.89,94,73,4.74
25,Kapaa,US,2022-11-08 17:33:03,22.0752,-159.319,78.1,83,75,14.97
26,Altay,CN,2022-11-08 17:33:57,47.8667,88.1167,40.51,88,100,3.49
27,Tuktoyaktuk,CA,2022-11-08 17:33:07,69.4541,-133.0374,14.0,67,100,12.66
28,Rio Gallegos,AR,2022-11-08 17:29:27,-51.6226,-69.2181,60.85,39,75,24.16
29,Mayo,US,2022-11-08 17:33:22,38.8876,-76.5119,60.51,48,0,12.66
30,Canton,CN,2022-11-08 17:30:34,23.1167,113.25,70.88,77,98,2.33
31,Abu Zabad,SD,2022-11-08 17:33:58,12.35,29.25,80.87,17,65,11.12
32,Cherskiy,RU,2022-11-08 17:33:58,68.75,161.3,-4.11,100,93,4.81
33,Jackson,US,2022-11-08 17:30:09,42.4165,-122.8345,39.79,94,100,1.01
34,San Lawrenz,MT,2022-11-08 17:33:59,36.0553,14.204,65.86,71,8,2.15
35,Souillac,MU,2022-11-08 17:33:59,-20.5167,57.5167,75.58,73,20,5.75
36,Carnarvon,AU,2022-11-08 17:33:20,-24.8667,113.6333,66.36,70,0,10.74
37,Qaqortoq,GL,2022-11-08 17:33:59,60.7167,-46.0333,21.11,68,29,9.13
38,Kahului,US,2022-11-08 17:32:45,20.8947,-156.47,79.84,72,20,14.97
39,Celestun,MX,2022-11-08 17:33:59,20.8667,-90.4,84.34,57,47,11.43
40,Thornaby,GB,2022-11-08 17:30:12,54.5333,-1.3,52.38,78,20,17.27
41,Guanare,VE,2022-11-08 17:34:00,9.0418,-69.7421,88.84,55,77,5.28
42,Vaini,TO,2022-11-08 17:34:00,-21.2,-175.2,73.56,83,75,9.22
43,Progreso,MX,2022-11-08 17:34:00,21.2833,-89.6667,86.11,58,28,13.42
44,Castro,BR,2022-11-08 17:34:01,-24.7911,-50.0119,69.82,42,68,5.5
45,Hilo,US,2022-11-08 17:31:49,19.7297,-155.09,77.61,90,75,3.44
46,Ahipara,NZ,2022-11-08 17:34:01,-35.1667,173.1667,57.52,94,27,4.27
47,Santa Marta,CO,2022-11-08 17:31:18,11.2408,-74.199,86.05,70,40,11.5
48,Mar Del Plata,AR,2022-11-08 17:30:07,-38.0023,-57.5575,79.83,57,0,13.8
49,Acari,PE,2022-11-08 17:35:02,-15.4311,-74.6158,79.43,46,31,10.6
50,Vila Velha,BR,2022-11-08 17:35:02,-20.3297,-40.2925,80.55,72,0,11.5
51,East London,ZA,2022-11-08 17:30:13,-33.0153,27.9116,65.34,94,75,2.3
52,Port Elizabeth,ZA,2022-11-08 17:35:03,-33.918,25.5701,66.09,82,0,5.75
53,Coihaique,CL,2022-11-08 17:35:03,-45.5752,-72.0662,65.01,52,75,8.05
54,Ilulissat,GL,2022-11-08 17:35:03,69.2167,-51.1,-11.87,81,23,6.55
55,Jamestown,US,2022-11-08 17:32:08,42.097,-79.2353,51.03,54,0,8.05
56,Butaritari,KI,2022-11-08 17:35:04,3.0707,172.7902,80.37,74,98,10.76
57,Peniche,PT,2022-11-08 17:35:05,39.3558,-9.3811,64.29,94,96,8.57
58,Halmstad,SE,2022-11-08 17:35:05,56.6745,12.8568,53.31,93,0,12.66
59,Mataura,NZ,2022-11-08 17:33:06,-46.1927,168.8643,45.97,98,60,2.57
60,Mogadishu,SO,2022-11-08 17:31:05,2.0371,45.3438,79.09,79,46,12.28
61,Opuwo,NA,2022-11-08 17:35:06,-18.0607,13.84,73.18,30,0,16.33
62,Nemuro,JP,2022-11-08 17:35:06,43.3236,145.575,46.76,69,3,16.75
63,Geraldton,AU,2022-11-08 17:35:06,-28.7667,114.6,61.21,77,75,5.75
64,Saint-Philippe,RE,2022-11-08 17:35:07,-21.3585,55.7679,72.99,80,67,10.07
65,Riyadh,SA,2022-11-08 17:31:19,24.6877,46.7219,84.34,17,0,8.57
66,Sayyan,YE,2022-11-08 17:35:07,15.1718,44.3244,58.66,44,1,1.81
67,Calderitas,MX,2022-11-08 17:35:07,18.55,-88.25,84.31,74,40,0.0
68,Bolgatanga,GH,2022-11-08 17:35:08,10.7856,-0.8514,85.91,21,51,4.99
69,Kavieng,PG,2022-11-08 17:35:08,-2.5744,150.7967,82.76,74,96,6.4
70,Eloy,US,2022-11-08 17:32:18,32.7559,-111.5548,73.85,27,1,5.35
71,Lompoc,US,2022-11-08 17:35:08,34.6391,-120.4579,58.89,88,100,17.27
72,Atherton,GB,2022-11-08 17:35:09,53.5237,-2.4935,51.35,88,100,5.01
73,Longyearbyen,SJ,2022-11-08 17:33:55,78.2186,15.6401,22.84,74,75,9.22
74,Klaksvik,FO,2022-11-08 17:35:09,62.2266,-6.589,47.32,91,100,15.26
75,Hithadhoo,MV,2022-11-08 17:35:09,-0.6,73.0833,81.37,79,89,15.97
76,Cape Town,ZA,2022-11-08 17:35:05,-33.9258,18.4232,66.61,63,40,14.97
77,San Patricio,US,2022-11-08 17:35:10,28.017,-97.5169,84.07,60,17,11.07
78,Ancud,CL,2022-11-08 17:33:56,-41.8697,-73.8203,60.96,76,91,7.85
79,Khatanga,RU,2022-11-08 17:35:10,71.9667,102.5,-12.69,99,100,7.4
80,Hualmay,PE,2022-11-08 17:35:10,-11.0964,-77.6139,69.3,71,26,9.82
